"entrezgene" "ensembl_gene_id" "external_gene_name"
103554 "ENSMUSG00000040850" "Psme4"
104130 "ENSMUSG00000031059" "Ndufb11"
104303 "ENSMUSG00000060904" "Arl1"
106529 "ENSMUSG00000031708" "Tecr"
108143 "ENSMUSG00000078941" "Ak6"
108143 "ENSMUSG00000052293" "Taf9"
108660 "ENSMUSG00000020496" "Rnf187"
108767 "ENSMUSG00000040128" "Pnrc1"
108989 "ENSMUSG00000006005" "Tpr"
109905 "ENSMUSG00000068798" "Rap1a"
110323 "ENSMUSG00000036751" "Cox6b1"
110842 "ENSMUSG00000032314" "Etfa"
110954 "ENSMUSG00000008682" "Rpl10"
112405 "ENSMUSG00000031987" "Egln1"
11364 "ENSMUSG00000062908" "Acadm"
114128 "ENSMUSG00000022257" "Laptm4b"
11430 "ENSMUSG00000020777" "Acox1"
11669 "ENSMUSG00000029455" "Aldh2"
11674 "ENSMUSG00000030695" "Aldoa"
11677 "ENSMUSG00000001642" "Akr1b3"
117198 "ENSMUSG00000023150" "Ivns1abp"
11739 "ENSMUSG00000031633" "Slc25a4"
11740 "ENSMUSG00000016319" "Slc25a5"
11747 "ENSMUSG00000027712" "Anxa5"
11804 "ENSMUSG00000031996" "Aplp2"
11840 "ENSMUSG00000048076" "Arf1"
11928 "ENSMUSG00000033161" "Atp1a1"
11938 "ENSMUSG00000029467" "Atp2a2"
11946 "ENSMUSG00000025428" "Atp5a1"
11947 "ENSMUSG00000025393" "Atp5b"
11949 "ENSMUSG00000025781" "Atp5c1"
11950 "ENSMUSG00000000563" "Atp5pb"
11958 "ENSMUSG00000050856" "Atp5k"
11983 "ENSMUSG00000054428" "Atpif1"
11984 "ENSMUSG00000024121" "Atp6v0c"
12010 "ENSMUSG00000060802" "B2m"
12176 "ENSMUSG00000078566" "Bnip3"
12215 "ENSMUSG00000023175" "Bsg"
12313 "ENSMUSG00000001175" "Calm1"
12314 "ENSMUSG00000036438" "Calm2"
12321 "ENSMUSG00000029767" "Calu"
12330 "ENSMUSG00000020368" "Canx"
12343 "ENSMUSG00000015733" "Capza2"
12373 "ENSMUSG00000027861" "Casq2"
12385 "ENSMUSG00000037815" "Ctnna1"
12387 "ENSMUSG00000006932" "Ctnnb1"
12453 "ENSMUSG00000063015" "Ccni"
12461 "ENSMUSG00000034024" "Cct2"
12462 "ENSMUSG00000001416" "Cct3"
12464 "ENSMUSG00000007739" "Cct4"
12466 "ENSMUSG00000029447" "Cct6a"
12476 "ENSMUSG00000025510" "Cd151"
12540 "ENSMUSG00000006699" "Cdc42"
12558 "ENSMUSG00000024304" "Cdh2"
12785 "ENSMUSG00000030057" "Cnbp"
12793 "ENSMUSG00000015759" "Cnih1"
12826 "ENSMUSG00000031502" "Col4a1"
12857 "ENSMUSG00000031818" "Cox4i1"
12858 "ENSMUSG00000000088" "Cox5a"
12859 "ENSMUSG00000061518" "Cox5b"
12861 "ENSMUSG00000041697" "Cox6a1"
12864 "ENSMUSG00000014313" "Cox6c"
12866 "ENSMUSG00000032330" "Cox7a2"
12867 "ENSMUSG00000017778" "Cox7c"
12868 "ENSMUSG00000035885" "Cox8a"
12974 "ENSMUSG00000005683" "Cs"
13033 "ENSMUSG00000007891" "Ctsd"
13046 "ENSMUSG00000005506" "Celf1"
13167 "ENSMUSG00000026385" "Dbi"
13204 "ENSMUSG00000029169" "Dhx15"
13205 "ENSMUSG00000000787" "Ddx3x"
13207 "ENSMUSG00000020719" "Ddx5"
13382 "ENSMUSG00000020664" "Dld"
13445 "ENSMUSG00000029394" "Cdk2ap1"
13476 "ENSMUSG00000005873" "Reep5"
13627 "ENSMUSG00000037742" "Eef1a1"
13629 "ENSMUSG00000034994" "Eef2"
